CustomerID,Income,SpendingScore
1,141958,91
2,35795,15
3,20860,11
4,123694,103
5,148106,55
6,139879,68
7,130268,94
8,96820,34
9,74886,19
10,26265,10
11,102386,32
12,148214,120
13,57194,43
14,107498,69
15,132727,107
16,146324,111
17,64131,21
18,80263,66
19,36023,20
20,61090,46
21,87221,72
22,84820,35
23,20769,5
24,79735,28
25,82955,41
26,84925,65
27,141637,113
28,87969,18
29,25311,14
30,123355,60
31,124724,44
32,103104,29
33,73707,32
34,105305,90
35,48693,20
36,91932,51
37,147723,102
38,113016,51
39,126970,111
40,45658,39
41,104478,39
42,142537,78
43,38431,15
44,22747,9
45,143855,32
46,79150,49
47,85725,47
48,149981,35
49,104654,41
50,55773,46
51,139346,51
52,87435,26
53,76886,41
54,86803,77
55,51551,19
56,136216,91
57,31394,23
58,89092,32
59,23890,16
60,61606,28
61,116276,74
62,145768,93
63,100038,57
64,107313,28
65,30627,24
66,28792,12
67,128859,42
68,128557,29
69,93969,57
70,63001,42
71,96552,20
72,43897,24
73,88148,31
74,141729,92
75,144243,46
76,140923,96
77,140174,65
78,43483,37
79,144358,42
80,68555,30
81,145436,40
82,37159,31
83,130510,106
84,126530,48
85,100077,66
86,55920,43
87,112067,65
88,87121,49
89,89479,33
90,109475,29
91,39457,32
92,86557,71
93,97189,62
94,129109,56
95,98953,43
96,72995,51
97,60757,50
98,29692,24
99,65758,49
100,149425,97
101,92409,23
102,91211,28
103,85697,71
104,57065,35
105,112093,23
106,119299,32
107,149293,99
108,52606,10
109,147791,46
110,31534,18
111,114663,78
112,60397,39
113,146678,52
114,111387,77
115,21016,7
116,109789,46
117,75591,54
118,109812,71
119,43247,34
120,44300,29
121,94065,56
122,102798,27
123,29268,13
124,106807,41
125,32185,11
126,83704,73
127,106779,50
128,59099,48
129,28571,18
130,143372,108
131,125512,69
132,58044,35
133,71214,38
134,81228,27
135,134752,95
136,68984,27
137,60774,13
138,22568,14
139,140151,45
140,82592,70
141,87563,75
142,22695,19
143,144375,66
144,68190,14
145,25258,21
146,107538,53
147,59504,52
148,53159,46
149,33986,27
150,81858,33
151,149312,70
152,32666,25
153,58660,24
154,23561,7
155,46854,27
156,84505,72
157,124488,85
158,72251,43
159,42662,11
160,28392,17
161,50535,45
162,98603,29
163,133569,75
164,72256,58
165,109135,78
166,147478,101
167,55222,38
168,97373,43
169,99575,40
170,143684,110
171,116354,89
172,104651,84
173,83335,69
174,30965,17
175,44538,24
176,128066,97
177,90592,59
178,118018,81
179,133252,100
180,28110,23
181,99309,43
182,47266,21
183,72992,19
184,102948,62
185,142073,31
186,118806,62
187,26910,15
188,130989,52
189,110982,68
190,141626,31
191,139176,31
192,20206,15
193,107054,48
194,107897,31
195,142409,80
196,43419,32
197,70636,24
198,142546,90
199,134238,34
200,70015,16
